USER_ID,ORDER_ID,PURCHASE_TS,SHIP_TS,REFUND_TS,PRODUCT_NAME,PRODUCT_ID,USD_PRICE,PURCHASE_PLATFORM,MARKETING_CHANNEL,ACCOUNT_CREATION_METHOD,COUNTRY_CODE,,
6c25c271,00fe3d4867f46670,8/18/2020,7/29/2020,,Nintendo Switch,e682,147.59,website,direct,desktop,KR,,
14934774,01015969b42424,12/27/2020,8/14/2020,,Nintendo Switch,e682,153.88,website,direct,desktop,AU,,
f4359879,0103f8010c1103224,7/22/2019,4/10/2019,,Nintendo Switch,8d0d,186.56,website,direct,desktop,IL,,
34918d84,010479a65fb24299,12/17/2020,11/19/2020,,Nintendo Switch,8d0d,168,website,direct,desktop,US,,
05dc958a,010800e77805514,6/25/2020,6/6/2020,,Nintendo Switch,e682,136.25,website,email,mobile,AU,,
34706fc2,010d124585e24253,12/22/2020,10/24/2020,,27in 4K gaming monitor,e7e6,480,website,email,desktop,US,,
de2c5271,010d19387f693888,9/20/2020,7/20/2020,,JBL Quantum 100 Gaming Headset,ab0f,23.03,website,direct,desktop,DE,,
de2c5271,010d19387f693889,9/20/2020,7/23/2020,,JBL Quantum 100 Gaming Headset,ab0f,23.03,website,direct,desktop,DE,,
9dc3f2a2,010d2ebc3c966689,11/17/2020,10/20/2020,,Nintendo Switch,e682,179.22,website,direct,desktop,GB,,
d2d7219f,010d4eb3e9c88990,11/3/2020,10/16/2020,,27in 4K gaming monitor,e7e6,480,website,direct,desktop,US,,
7396c7e8,01100fc69e949628,9/16/2020,8/31/2020,7/30/2023,Nintendo Switch,e682,152.83,website,direct,desktop,KR,,
6eee6248,01109e7002147835,6/20/2020,6/20/2020,,Nintendo Switch,8d0d,152.51,website,direct,desktop,FR,,
2.86E+30,0113581919b2869,2/12/2020,12/21/2019,,Nintendo Switch,8d0d,168,website,direct,desktop,US,,
ef0df8dc,01155ceb6d3101006,9/6/2020,8/26/2020,,Nintendo Switch,e682,168,website,direct,desktop,US,,
5438b3b6,011ca48484737099,4/3/2019,3/27/2019,,Nintendo Switch,8d0d,134.7,website,direct,desktop,CH,,
bddb2688,01240b0addd80379,11/6/2020,7/9/2020,,Dell Gaming Mouse,f81e,50.09,mobile app,email,desktop,IN,,
a60e8c9e,012d170c73670354,9/5/2020,5/31/2020,,Dell Gaming Mouse,5142,49.98,mobile app,email,desktop,US,,
a60e8c9e,012d170c73670355,9/5/2020,5/19/2020,,Dell Gaming Mouse,5142,49.98,mobile app,email,desktop,US,,
a60e8c9e,012d170c73670356,9/5/2020,6/17/2020,,Dell Gaming Mouse,5142,49.98,mobile app,email,desktop,US,,
3f6a2d44,0130063ced728738,12/17/2019,8/28/2019,,Nintendo Switch,e682,168,website,direct,desktop,US,,
2307420b,0132f9e05c117182,6/6/2020,5/12/2020,,Nintendo Switch,8d0d,168,website,direct,desktop,US,,
f84a6a06,013efdef6f5104898,9/17/2019,7/22/2019,,Nintendo Switch,e682,168,website,direct,desktop,US,,
a6849c66,013fb8a0d7e70570,11/13/2020,10/13/2020,,27in 4K gaming monitor,891b,449.4,website,direct,desktop,DK,,
994ab136,01454de09e164831,1/20/2020,12/14/2019,,JBL Quantum 100 Gaming Headset,ab0f,24,website,direct,desktop,US,,
3352f4f3,014757c4fef23832,5/2/2020,12/6/2019,,27in 4K gaming monitor,891b,384,website,direct,desktop,US,,
55b7dbdf,0148a5cc8a337680,12/22/2020,12/16/2020,,Nintendo Switch,e682,143.02,website,direct,desktop,PL,,
672be6d5,014a46022b444563,6/3/2020,2/4/2020,,JBL Quantum 100 Gaming Headset,ab0f,24.88,website,email,mobile,GB,,
c8766580,015171a728384757,7/30/2020,3/10/2020,,Nintendo Switch,8e5d,161.78,mobile app,email,mobile,IT,,
f9b43d7c,015337783af105484,12/2/2019,7/22/2019,,Nintendo Switch,e682,149.7,website,direct,desktop,DE,,
e277825c,0153766fdfa95672,9/8/2020,7/4/2020,,JBL Quantum 100 Gaming Headset,ab0f,24,website,direct,desktop,US,,
83453728,01562d852912206,12/7/2020,11/18/2020,,Nintendo Switch,e682,144.17,website,direct,desktop,AU,,
344a615d,0157cb3b87924203,9/10/2020,6/7/2020,9/26/2022,Nintendo Switch,e682,168,website,direct,desktop,US,,
344a615d,0157cb3b87924205,9/10/2020,9/7/2020,,Nintendo Switch,e682,168,website,direct,desktop,US,,
08e4bdbb,015be60c5e96663,12/21/2020,10/21/2020,1/19/2024,27in 4K gaming monitor,e7e6,480,website,direct,desktop,US,,
f42da604,0160b5ee5de103211,2/27/2020,2/12/2020,,Acer Nitro V Gaming Laptop,22ea,798,website,direct,desktop,US,,
64e1dd19,0164bd6b79e43617,12/23/2020,12/18/2020,,Nintendo Switch,e682,184.9,website,direct,desktop,GB,,
0d2a4881,0165295a5888413,4/6/2019,2/6/2019,,JBL Quantum 100 Gaming Headset,ab0f,24,website,direct,desktop,BB,,
cc617886,01666da31fe86332,8/10/2020,5/15/2020,,Nintendo Switch,8d0d,168,website,direct,desktop,RO,,
e8d19822,016f944514a98331,11/14/2020,11/11/2020,,Nintendo Switch,8d0d,126,website,direct,desktop,UA,,
be40951c,0179d78928080528,12/31/2020,11/28/2020,,JBL Quantum 100 Gaming Headset,ab0f,24,website,direct,desktop,IN,,
d53cf7be,017ceab282490002,9/26/2020,8/24/2020,,27in 4K gaming monitor,891b,471.28,website,email,desktop,US,,
d9c130fc,01910d25e6f91979,6/3/2019,4/2/2019,,Nintendo Switch,8d0d,168,website,direct,desktop,US,,
846d7b4d,01966e496ad56332,8/29/2020,4/10/2020,,Nintendo Switch,8d0d,177.11,website,direct,desktop,GB,,
5902d225,019d534de7438940,8/26/2019,4/20/2019,,Nintendo Switch,8d0d,155.69,website,direct,desktop,JP,,
324c4715,019ea1edd9f23424,9/13/2019,7/27/2019,,Nintendo Switch,8d0d,140.56,website,direct,desktop,GB,,
15827421,019edaa8cc8450,7/31/2020,6/21/2020,,27in 4K gaming monitor,891b,408,website,direct,desktop,US,,
5eae1b73,01a250384bb41265,11/2/2020,7/8/2020,,Nintendo Switch,8e5d,162.88,mobile app,direct,desktop,NO,,
389f8fbf,01a7b9084cf25922,12/20/2020,10/4/2020,,27in 4K gaming monitor,891b,265.2,website,direct,desktop,GB,,
389f8fbf,01a7b9084cf25923,12/20/2020,9/18/2020,,27in 4K gaming monitor,891b,265.2,website,direct,desktop,GB,,
9a2ce293,01a835d3d4e65182,10/4/2020,9/3/2020,,Lenovo IdeaPad Gaming 3,9ef0,1198,website,direct,desktop,US,,
5a9f3dec,01b1eda6ce639613,8/22/2020,6/3/2020,9/14/2022,27in 4K gaming monitor,e7e6,480,website,direct,desktop,BR,,
df45ed89,01bbdc23a9094367,8/28/2020,4/2/2020,,JBL Quantum 100 Gaming Headset,ab0f,24,website,direct,desktop,HU,,
f5eb05f2,01be0d0748c103896,3/14/2020,12/22/2019,,JBL Quantum 100 Gaming Headset,8315,23.38,mobile app,direct,desktop,US,,
1b0b846e,01c23f26e6814007,3/21/2020,3/9/2020,,27in 4K gaming monitor,891b,480,website,direct,desktop,US,,
cc167bcc,01c90a2887386232,5/16/2020,5/8/2020,,Dell Gaming Mouse,0c5a,46.58,mobile app,direct,desktop,GB,,
72163ca9,01cdb62275349023,8/23/2020,7/25/2020,,Nintendo Switch,e682,168,website,direct,desktop,US,,
913e52a3,01d2109390161577,10/30/2019,8/24/2019,,Nintendo Switch,8d0d,150.52,website,direct,desktop,CA,,
28803a37,01d2d38627219374,6/19/2019,2/9/2019,,Nintendo Switch,8d0d,168,website,affiliate,unknown,US,,
efd983d6,01d519a163c101329,10/30/2020,8/12/2020,,Nintendo Switch,e682,152.04,website,direct,desktop,CA,,
b2c56c19,01d5aa1a9a475777,3/28/2020,2/8/2020,,Nintendo Switch,b5f7,101.07,mobile app,direct,desktop,GB,,
5116edc2,01d5d1ad23b35891,10/16/2020,6/22/2020,,27in 4K gaming monitor,e7e6,480,website,email,desktop,US,,
23949611,01d7ee766f5645,9/24/2020,5/18/2020,,JBL Quantum 100 Gaming Headset,8315,23.3,mobile app,email,desktop,IT,,
ca537e40,01d84a920ea85524,10/11/2020,8/8/2020,,Nintendo Switch,e682,168,website,direct,desktop,VE,,
28ed2cbe,01e1b1499ef19541,9/14/2020,9/1/2020,1/11/2025,Nintendo Switch,e682,168,website,email,desktop,US,,
28ed2cbe,01e1b1499ef19542,9/14/2020,5/10/2020,,Nintendo Switch,e682,168,website,email,desktop,US,,
edb247fe,01e1cb7a2ce100417,11/24/2019,7/25/2019,,27in 4K gaming monitor,891b,365.24,website,affiliate,unknown,US,,
6d61f88d,01e4021ba8047206,5/14/2020,3/11/2020,,Nintendo Switch,8d0d,168,website,direct,desktop,US,,
9.32E+87,01f0db9203c3058,10/6/2020,9/15/2020,,Nintendo Switch,8d0d,158.79,website,direct,desktop,JP,,
c9c41649,01f33459c4385298,6/5/2020,3/26/2020,,Nintendo Switch,e682,168,website,direct,desktop,US,,
67459ef3,01fc522710c44602,11/10/2019,7/30/2019,,Nintendo Switch,8d0d,126,website,direct,desktop,US,,
a25218b3,0203fe9582668644,5/8/2020,1/16/2020,,27in 4K gaming monitor,e7e6,480,website,direct,desktop,US,,
82ab6848,020cce9aa2655662,12/21/2020,8/1/2020,,Nintendo Switch,b5f7,167.98,mobile app,email,desktop,US,,
82ab6848,020cce9aa2655663,12/21/2020,8/9/2020,11/28/2023,Nintendo Switch,b5f7,167.98,mobile app,email,desktop,US,,
82ab6848,020cce9aa2655664,12/21/2020,9/28/2020,,Nintendo Switch,b5f7,167.98,mobile app,email,desktop,US,,
9158bc70,020e271af6861623,9/4/2019,8/22/2019,,Nintendo Switch,8d0d,168,website,direct,desktop,US,,
1a17b8d8,021211c2a8213612,4/4/2019,11/12/2018,,JBL Quantum 100 Gaming Headset,ab0f,24,website,direct,desktop,US,,
f8acaad8,021ed8fe4a6105079,2/19/2020,12/30/2019,,JBL Quantum 100 Gaming Headset,ab0f,15.69,website,direct,desktop,NZ,,
b47a86b9,021f288145676462,5/9/2020,3/6/2020,,Nintendo Switch,e682,168,website,direct,desktop,US,,
4ee06afc,02297c9a51f34987,12/16/2019,11/8/2019,,JBL Quantum 100 Gaming Headset,ab0f,25.67,website,direct,desktop,GB,,
05c1da16,02315dfa11b5467,4/13/2019,12/4/2018,,Nintendo Switch,8d0d,151.81,website,direct,desktop,FR,,
df25521d,023ba0695fc94321,5/26/2020,1/10/2020,,JBL Quantum 100 Gaming Headset,ab0f,21.25,website,direct,desktop,DE,,
8b7beb17,0242cc4791359258,3/25/2019,2/17/2019,,Nintendo Switch,8d0d,168,website,direct,desktop,US,,
04e83cf6,0243a4dd3635120,5/20/2020,1/16/2020,,Acer Nitro V Gaming Laptop,22ea,798,website,direct,desktop,US,,
5d3e0ada,024d449d47540661,4/29/2019,12/21/2018,,27in 4K gaming monitor,891b,276.7,website,direct,desktop,AU,,
38a5b93c,024e81ab11c25936,8/15/2020,4/30/2020,9/13/2022,Lenovo IdeaPad Gaming 3,9ef0,1216.35,website,email,desktop,CY,,
2ef89626,025c5f5904722041,12/11/2020,11/12/2020,,Dell Gaming Mouse,8d4f,49.98,mobile app,direct,desktop,US,,
c0b48565,025c6614efa81615,9/29/2020,8/23/2020,9/4/2022,Sony PlayStation 5 Bundle,54ed,1800,website,direct,desktop,US,,
ea5fe5f2,025db6e6e6999002,11/26/2019,11/10/2019,,Nintendo Switch,8d0d,168,website,direct,desktop,BO,,
cc50972b,025e88536a486311,2/19/2020,11/2/2019,,Nintendo Switch,e682,168,website,direct,desktop,US,,
7bc41ad9,026121054f852886,4/4/2019,11/12/2018,,JBL Quantum 100 Gaming Headset,ab0f,24,website,direct,desktop,US,,
769caca9,02676062a7f50800,6/4/2020,4/16/2020,,27in 4K gaming monitor,891b,419.4,website,direct,desktop,BR,,
76da8882,026cfa1894450910,11/4/2019,8/18/2019,,Nintendo Switch,8d0d,171.64,website,direct,desktop,GB,,
78548048,026e1bb10642075,11/19/2019,8/17/2019,,27in 4K gaming monitor,891b,331.74,website,direct,desktop,HU,,
78548048,026e1bb10642076,11/19/2019,7/16/2019,,27in 4K gaming monitor,891b,331.74,website,direct,desktop,HU,,
df317aa9,026e8acd51594337,10/6/2019,8/21/2019,12/12/2021,27in 4K gaming monitor,891b,480,website,direct,desktop,US,,
df317aa9,026e8acd51594338,10/6/2019,8/6/2019,12/12/2021,27in 4K gaming monitor,891b,480,website,direct,desktop,US,,
b8b5d205,026e9c9f60e78250,9/15/2020,6/29/2020,,Nintendo Switch,b5f7,129.66,mobile app,email,desktop,AU,,
cd63cb8b,0272be92e6586757,9/6/2020,5/25/2020,,27in 4K gaming monitor,e7e6,480,website,direct,desktop,CO,,
eacbd399,0279a146cf699196,4/1/2019,3/14/2019,,Nintendo Switch,8d0d,168,website,direct,desktop,US,,
be7e6dd7,0279b93a84080648,12/27/2020,12/17/2020,,27in 4K gaming monitor,891b,450.37,website,direct,desktop,NL,,
4.09E+39,027e3798e042899,9/4/2019,5/21/2019,,27in 4K gaming monitor,e7e6,480,website,direct,desktop,US,,
a6849c66,027e4e25e4d70571,4/23/2019,1/13/2019,,Nintendo Switch,8d0d,179.4,website,direct,desktop,DK,,
94cf8a34,027ebbee75263061,4/28/2020,12/16/2019,,27in 4K gaming monitor,891b,404.69,website,direct,desktop,SE,,
aad2921f,027f5de3dcc72442,6/24/2019,3/24/2019,,JBL Quantum 100 Gaming Headset,ab0f,24,website,email,mobile,US,,
1edf4748,027f68f705a15632,3/11/2020,12/19/2019,,JBL Quantum 100 Gaming Headset,ab0f,24,website,direct,desktop,US,,
db381a96,0287b6b671e92635,9/6/2020,6/20/2020,,Nintendo Switch,8d0d,151.2,website,direct,desktop,US,,
131d4f07,028ce43f5da10832,12/3/2019,9/14/2019,,Nintendo Switch,8d0d,142.8,website,direct,desktop,US,,
38ad7a33,02961164c4c25958,9/17/2020,5/11/2020,,27in 4K gaming monitor,891b,432.82,website,affiliate,unknown,US,,
7e2b12b6,029d69c29a953895,9/2/2020,4/19/2020,9/22/2022,Nintendo Switch,e682,168,website,email,desktop,US,,
29e9df41,029fe3df5ee19974,7/14/2020,4/16/2020,,Lenovo IdeaPad Gaming 3,04ac,1104.63,website,direct,desktop,FR,,
29e9df41,029fe3df5ee19975,7/14/2020,7/3/2020,,Lenovo IdeaPad Gaming 3,04ac,1104.63,website,direct,desktop,FR,,
4386bb36,02a0b5bad9530396,10/19/2020,8/8/2020,,Nintendo Switch,8d0d,142.02,website,direct,desktop,AU,,
1dec70f9,02a2b4e65b715245,9/15/2020,5/25/2020,,JBL Quantum 100 Gaming Headset,ab0f,24,website,social media,tablet,US,,
92f0c055,02a571814be62355,7/13/2020,3/3/2020,,Nintendo Switch,8d0d,155.42,website,direct,desktop,AT,,
92f0c055,02a571814be62356,7/13/2020,5/5/2020,,Nintendo Switch,8d0d,155.42,website,direct,desktop,AT,,
e8b6df06,02a71daa0a198284,5/28/2020,4/7/2020,,JBL Quantum 100 Gaming Headset,ab0f,24,website,direct,desktop,US,,
4a78532d,02a9296a5f933116,9/4/2020,6/14/2020,12/28/2022,Nintendo Switch,e682,158.9,website,direct,desktop,FR,,
4a78532d,02a9296a5f933117,9/4/2020,8/21/2020,,Nintendo Switch,e682,158.9,website,direct,desktop,FR,,
aebf517a,02aa0e4d5de74063,8/25/2020,6/6/2020,,JBL Quantum 100 Gaming Headset,ab0f,24,website,direct,desktop,US,,
402648ef,02aa499b74e29055,12/11/2020,11/5/2020,6/18/2025,27in 4K gaming monitor,e7e6,439.2,website,email,desktop,NL,,
50b08506,02b1afc23c435739,9/28/2020,7/26/2020,,Sony PlayStation 5 Bundle,54ed,502.84,website,direct,desktop,TR,,
50b08506,02b1afc23c435740,9/28/2020,5/25/2020,,Sony PlayStation 5 Bundle,54ed,502.84,website,direct,desktop,TR,,
4659094c,02b24e33e1031537,11/26/2020,9/26/2020,,Lenovo IdeaPad Gaming 3,9ef0,1256.63,website,direct,desktop,GB,,
44a6f947,02b673f8ed830862,7/20/2020,4/10/2020,,Nintendo Switch,e682,168,website,direct,desktop,US,,
2e3dccb8,02b6e173d0121732,8/21/2019,5/17/2019,,JBL Quantum 100 Gaming Headset,ab0f,24,website,direct,desktop,US,,
9a914407,02b9c2d46d765362,4/30/2020,1/11/2020,,JBL Quantum 100 Gaming Headset,ab0f,24,website,direct,desktop,US,,
55ff94c4,02c527ac37237792,12/23/2020,12/11/2020,5/4/2021,Nintendo Switch,e682,158.79,website,direct,desktop,JP,,
55ff94c4,02c527ac37237793,12/23/2020,12/22/2020,,Nintendo Switch,e682,158.79,website,direct,desktop,JP,,
7e7f2aef,02c5ef904c754040,8/20/2020,7/13/2020,,Nintendo Switch,8d0d,168,website,direct,desktop,US,,
64fef165,02c8daf400843669,7/2/2020,6/25/2020,,Nintendo Switch,8d0d,142.8,website,direct,desktop,BR,,
c7c2a847,02ca21e942e84508,11/21/2019,10/23/2019,,Nintendo Switch,8d0d,168,website,direct,desktop,US,,
86343b82,02cadb19c0257095,6/11/2019,5/1/2019,,Nintendo Switch,8d0d,168,website,direct,desktop,KW,,
15b704bb,02cb21f2f5311822,7/26/2020,5/28/2020,,27in 4K gaming monitor,e7e6,480,website,email,mobile,US,,
510f1160,02cce094b9035884,3/13/2020,2/15/2020,,Nintendo Switch,8d0d,146.59,website,direct,desktop,BE,,
3f1b98f3,02ce667782d28591,11/23/2020,7/21/2020,,Nintendo Switch,e682,168,website,direct,desktop,US,,
91703440,02d2390d1ef2430,11/21/2020,10/15/2020,,Dell Gaming Mouse,8d4f,49.98,mobile app,direct,desktop,US,,
91703440,02d2390d1ef2431,11/21/2020,10/13/2020,,Dell Gaming Mouse,8d4f,49.98,mobile app,direct,desktop,US,,
b8628175,02d3bd3f6c478105,6/2/2019,3/24/2019,,Nintendo Switch,8d0d,168,website,direct,desktop,US,,
f6a6bfde,02d62e34aff104192,3/29/2020,2/29/2020,,Nintendo Switch,e682,154.76,website,direct,desktop,JP,,
